timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736148298343,813,HTTP Request -- 1,200,OK,192.168.1.11-Thread Group 1 1-1,text,true,,22900,230,1,4,http://www.google.com/,363,0,23
1736148298343,363,HTTP Request -- 1-0,301,Moved Permanently,192.168.1.11-Thread Group 1 1-1,text,true,,773,113,1,4,http://google.com/,363,0,23
1736148298708,448,HTTP Request -- 1-1,200,OK,192.168.1.11-Thread Group 1 1-1,text,true,,22127,117,1,4,http://www.google.com/,439,0,22
1736148298348,771,"""Youtube Request....""",200,OK,192.168.1.11-Thread Group 3 3-1,text,true,,570338,346,1,4,https://www.youtube.com/,105,0,18
1736148298348,105,"""Youtube Request....""-0",301,Moved Permanently,192.168.1.11-Thread Group 3 3-1,text,true,,373,114,1,4,http://youtube.com/,105,0,18
1736148298455,266,"""Youtube Request....""-1",301,Moved Permanently,192.168.1.11-Thread Group 3 3-1,text,true,,1433,114,1,4,https://youtube.com/,266,0,176
1736148298722,397,"""Youtube Request....""-2",200,OK,192.168.1.11-Thread Group 3 3-1,text,true,,568532,118,1,4,https://www.youtube.com/,277,0,115
1736148298350,871,HTTP Request -- 7,200,OK,192.168.1.11-Thread Group 4-1,text,true,,22905,230,1,2,http://www.google.com/,356,0,16
1736148298350,356,HTTP Request -- 7-0,301,Moved Permanently,192.168.1.11-Thread Group 4-1,text,true,,773,113,1,2,http://google.com/,356,0,16
1736148298708,513,HTTP Request -- 7-1,200,OK,192.168.1.11-Thread Group 4-1,text,true,,22132,117,1,2,http://www.google.com/,489,0,22
1736148298356,1261,HTTP Request -- 06 01 2025 12 54 59,200,OK,192.168.1.11-Thread Group 2 2-1,text,true,,22837,230,1,3,http://www.google.com/,748,0,10
1736148298356,748,HTTP Request -- 06 01 2025 12 54 58-0,301,Moved Permanently,192.168.1.11-Thread Group 2 2-1,text,true,,773,113,1,3,http://google.com/,748,0,10
1736148299107,510,HTTP Request -- 06 01 2025 12 54 58-1,200,OK,192.168.1.11-Thread Group 2 2-1,text,true,,22064,117,1,3,http://www.google.com/,487,0,17
1736148299222,838,HTTP Request -- 7,200,OK,192.168.1.11-Thread Group 4-1,text,true,,22865,230,1,2,http://www.google.com/,340,0,0
1736148299222,340,HTTP Request -- 7-0,301,Moved Permanently,192.168.1.11-Thread Group 4-1,text,true,,773,113,1,2,http://google.com/,340,0,0
1736148299562,498,HTTP Request -- 7-1,200,OK,192.168.1.11-Thread Group 4-1,text,true,,22092,117,1,2,http://www.google.com/,477,0,0
1736148299343,822,HTTP Request -- 2,200,OK,192.168.1.11-Thread Group 1 1-2,text,true,,22829,230,1,1,http://www.google.com/,356,0,10
1736148299343,356,HTTP Request -- 2-0,301,Moved Permanently,192.168.1.11-Thread Group 1 1-2,text,true,,773,113,1,1,http://google.com/,356,0,10
1736148299699,466,HTTP Request -- 2-1,200,OK,192.168.1.11-Thread Group 1 1-2,text,true,,22056,117,1,1,http://www.google.com/,453,0,14
1736148300341,1195,HTTP Request -- 3,200,OK,192.168.1.11-Thread Group 1 1-3,text,true,,22844,230,1,1,http://www.google.com/,355,0,11
1736148300341,355,HTTP Request -- 3-0,301,Moved Permanently,192.168.1.11-Thread Group 1 1-3,text,true,,773,113,1,1,http://google.com/,355,0,11
1736148300697,839,HTTP Request -- 3-1,200,OK,192.168.1.11-Thread Group 1 1-3,text,true,,22071,117,1,1,http://www.google.com/,816,0,11
